shot_number,technical_description,number_of_shots,cost_per_shot,total_cost,total_mandays,day_rate
1.1,Castle Siracusa Establishing,1,8400.0,8400.0,12.0,700
2.1,BG extension.,1,6300.0,6300.0,9.0,700
3.1,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.2,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.3,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.4,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.5,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.6,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.7,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.8,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.9,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.10,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.11,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
3.12,Alottment for set extension and BG replacements for this scene.  Assumes 12 shots based on scene length.,1,6300.0,6300.0,9.0,700
4.1,Flaming arrows.,1,6300.0,6300.0,9.0,700
5.1,Flaming arrows.,1,6300.0,6300.0,9.0,700
6.1,Flaming arrows.,1,6300.0,6300.0,9.0,700
7.1,Estblishing shot. CG docks and Galleys.,1,11900.0,11900.0,17.0,700
8.1,Assuming moderate level of DMP set extension for area. Assuming some cleanup is also needed. Assumes 2 shots.,1,7000.0,7000.0,10.0,700
8.2,Assuming moderate level of DMP set extension for area. Assuming some cleanup is also needed. Assumes 2 shots.,1,7000.0,7000.0,10.0,700
9.1,CG spear tip and 2d blood drop/small cut.,1,3500.0,3500.0,5.0,700
10.1,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
10.2,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
10.3,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
10.4,Allotment for Moderate Roman Basilica set extension. Assuming some set is built and CG is used to to extend the grandness of the building. Assuming 8 shots for this scene based on the script.,1,6300.0,6300.0,9.0,700
